example_id,batch,split,text,annotator1_t1_label,annotator2_t1_label,annotator3_t1_label,annotator1_t2_label,annotator2_t2_label,annotator3_t2_label,label
11,exploration,train,"Every country has the right to defend itself. However, as an occupying force, Israel's position is offensive by default. The Hamas attacks did not happen in a vacuum. Prior to October 7th, Israel had continuously breached international law, subjecting the Palestinians to a perpetual state of vanquish and suffering. With the killing of thousands of Palestinians, the demolition of tens of thousands of homes, the theft of water and land, the imprisonment of thousands without trial, and the harsh restrictions on movement of people and commodities, it is hard to imagine how the Palestinians would not fight back to defend themselves.

Even if you believe Israel is ""defending"" itself after the Hamas attacks, what do you think that entails? Is it defending itself by collectively punishing a population of more than 2 million people, by cutting off food, water, and power, by indiscriminate bombarding with over 7000 missiles in 2 weeks, by murdering thousands of men, women, and children, or by enforcing the displacement of over a million citizens? Do these seem like the actions of a state defending itself?","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",5,2,4,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0]"
12,exploration,train,"If an actual genocide was happening, the casualties would probably reach 1.5 million.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",3,2,1,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
13,exploration,train,"Hamas is the group that started this and should be held accountable for genocide. They went after people simply, because they were Israeli, and assumed to be Jewish. They want to obliterate all Jews in the world, and that is the very definition of genocide.","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",4,3,3,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
14,exploration,train,Israel for years before October 7th was propping up Hamas was underestimating the threat of Hamas and was relying way too heavily on their machine gun robots instead of having actual soldiers on protecting their border so they could just not do that they could just stop right now and not do that anymore,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",3,2,3,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
15,exploration,train,If there's any Native Americans around still they should have full rights protections under our legal order ... you can't just keep abusing them at a certain point you got to go hey the past was bad we're not going to 100% make up for it but going forward you deserve your freedom as much as anyone else does,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,2,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
16,exploration,train,There is no question that Benjamin Netanyahu is desperate to keep this war going as long as he can ... his entire Doctrine was I'm going to do this and thwart a Palestinian state so that we can protect our people and it culminated in October 7th,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1,1,3,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
17,exploration,train,"No, Hamas is the product of jihadist Islam and
Nazi antisemitism. That's why their charter

explicitly stated their objective to destroy Israel
and murder Jews.

And Mandela was a terrorist, but the ANC didn't
target civilians. They certainly didn't go house
to house murdering entire families, kidnapping
children and the elderly, raping women and
parading them through the streets, and burning
people alive in their cars.","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",3,3,4,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
18,exploration,train,"Let's imagine for a minute that you were a 30 year
old Palestinian mother living in a tent with 4
children in squalor. None of you here have ever
likely faced being 1st World poor let alone living in
a war zone in filthy conditions.","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",1,4,3,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
19,exploration,train,"Hamas ought to be accountable but innocent Palestinians shouldn't be ... Hamas is really accountable for the escalation for the perpetuation ... in other words, we all hate the sight of dead Israelis hate the sight of dead innocent Palestinians","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3,0,2,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
20,exploration,train,"The most I hear about from the pro-Pal side is about the Iron Dome. Israel have the Iron Dome, what does it matter if Hamas shoot a few rockets here and there, right?

Well, the Iron Dome is incredible but it's not immune and there have been rockets that get through and hit, generally this happens when Hamas fire huge numbers at once. Here's something that I heard about from my partner but never saw once in the Western media, the Barzilai hospital has been hit repeatedly by Hamas rockets. For my partner and son this is their local hospital, my heart breaks when I think about the idea that they could have been nearby when this happened. I'm living in the UK right now caring for a family member and it's horrible seeing on the news everyday that Israelis are monsters, that the IDF are terrorists and yet never once have I seen Hamas called out for rockets doing severe damage to an Israeli hospital, they don't call out Hamas for their war crimes. Occasionally they'll reluctantly mention the hostages when pushed but that's about it.","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,4,4,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
21,exploration,train,"Those advocating for a 1 or 2 state solution aren't saying Israel needs to return all their land - just that Palestinians in Gaza and the West Bank either need equal rights (1 state solution), or their own independent, sovereign state that isn't occupied and/or controlled by Israel (2 state solution).

Analogously, the US did horrible things to the Native Americans to form the country - war, massacres, broken treaties, etc... To rectify that now, the US shouldn't cease to exist and cede all its land and control back to the various tribes, but at the very least all current Native Americans should have the same rights as all other US citizens, which thankfully they do. There are still many issues, but imagine if reservations were walled off, bombed, etc...

So there is a lot of nuance and middle ground here other than either side's most extreme ""river to the sea"" statements. Peace can be achieved without Israel ceasing to exist, but not if it keeps repressing the Palestinian people's basic rights.","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,4,5,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
22,exploration,train,Israel has a right and obligation and responsibility to rescue them ... if Hamas keeps committing to keeping them as in civilian homes hidden among civilian populations Israel has a right and obligation and responsibility to rescue them,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,4,4,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
23,exploration,train,"You could argue that Israel should never have been created or should have been established somewhere else, but those decisions were made before most of us were born, and debating it now does no one any good. Ultimately, we need a solution that guarantees the safety and security of both Israelis and Palestinians, but that's easier said than done. As long as groups like Hamas exist, Israel can't safely take their finger off the trigger, and everything they do to root out extremists only fuels the next generation of extremists. It's a violent cycle that neither side knows how to extricate themselves from.

","[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,0,4,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
24,exploration,train,"""If this is genocide, then the Israelis are pathetic at it. They warn civilians to stay away from certain areas. Texting civilians._x000D_
_x000D_
To compare Gaza now to the Holocaust is to declare that one is not up on history....now if the Nazis warned the Jews to NOT show up at the railroad station to be transported to Auschwitz, then perhaps it would be the same._x000D_
_x000D_
_x000D_
_x000D_""","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,4,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
25,exploration,train,"Firstly, I firmly believe that Israel knowingly allowed the October 7 attack to occur. Here's a few reasons why:

-Israel was warned, but ignored/dismissed intel from Egypt and the US that an attack was imminent

-Israel has arguably the best intelligence agency in the world. Surely armed men training on motorbikes with parachutes attached would have come across their radar

-Guards who were stationed at the border post where Hamas entered, had sent reports to the highest-ranking intelligence officer in the southern command weeks before, warning of unusual activity, but the reports were ignored

I believe that Israel wanted any reason to enter a war with Hamas, so that they could access Gaza. Hamas' attack was brutal and horrific. This gave Israel the opportunity to strike almost any target they wanted to, without concern for civilian casualties, if they reported Hamas was nearby.

Palestinians were told to leave Gaza, but given nowhere to go. Still Israel dropped bombs.

Documents have now come out of the Israeli Parliament, outlining plans for a temporary tent city on the Sinai Peninsula for displaced Palestinians, with the long term goal of making it permanent.

I personally believe this has all been masterfully played by Israel, as a way of taking back the small but holy landmark of the Dome of the Rock. Or more importantly, the location of Temple Mount, where it is believed that once a third, previously demolished Temple is built, the Messiah will return.","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",5,2,2,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
26,evaluation,train,"A colony traditionally means that a foreign body encroaches on another people's land in pursuit of domination either by controlling (exploitation colonization) or replacing (settler colonization) the indigenous inhabitants.

When Theodor Herzl started the call for the modern zionist movement in 1896 to establish a national homeland for the jews in Palestine, jews at that time constituted a very small minority in Palestine. Jewish immigration started to increase after the movement and their number was estimated at 56,000 in 1918. The immigration specifically skyrocketed after Balfour declaration in 1917 that by 1939, the Jewish population had increased to 445,000. Source

So, it is an obvious case of settler colonization that can't be refuted but some people may argue that if the settler is the true indigenous population then it is not colonization. This can be refuted by:

Even if modern-day palestenians started to settle in the region after the jews that doesn't mean that they aren't indigenous; I don't know what makes you indigenous more than living continuously in the same area for about 2000 years. By that same logic, modern-day americans have no place in America because they are the descendants of europeans who invaded the region 300 years ago when the land belonged to the indigenous amirican population.

The plot twist, but an obvious thing, is that genetically palestinians are direct descendants of the ancient Israelites; they are jews who converted to christianity and then converted to islam. They are more ethnically israelites than most large jewish groups especailly askenazi jews whose europian ancestry is more than 50% while palestinian muslims have arab ancestory of only 20 to 30%. It is more striking when in comparison, palestinian muslims are more genetically close to askinazi jews than Saudi arabs, but yemenite jews are more arab than palestinian muslims. Source: (mega analysis of several research papers of dna material of several sources compiled into a database summarized in this thread).

In light of these facts and logical assumptions, there is no way to state that the jews have a distinctive or better claim to the land of palestine more than palestinians EXCEPT if:

You strongly sympathize with the jews because of the holaucost in europe and their long persecution there; which is very good and healthy thing to do but what have this to do with the palestinians? They werent the ones to persecute them in europe, so they dont have to atone for the mistakes and atrocities of europeans with their land and lives. If someone owes to compensate them then they should be europeans specifically germans. Why didn't they give them a piece of their land to build a Jewish-majority state?","[0, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",5,4,2,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
27,evaluation,train,"If Palestinians have a contiguous healthy democratic state, I don't think you see acts of violence. I don't think you see the kind of danger that you're talking about if they have access to safety, dignity, self-determination, freedom, etc.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,4,3,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
28,evaluation,train,Genocide in Jewish/Israeli world language is not the same as any other language. Israel killing Arabs = genocide. Every body else killing Arabs = collateral damage. Arabs killing Arabs = life goes on. Russia/china killing Arabs = another day in the park. Nothing we can do about it.,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,4,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
29,evaluation,train,"The atomic bomb drops weren't even
necessary, it was just a show of force. Japan
was in no shape to continue fighting. Fast
forward and instead of any real diplomatic
efforts to truly make peace, the US has
continued to only show more aggression
without caring for human dignity in all of its
wars since WW2 (the only war in recent
decades with a noble cause to fight).

The cost of what Israel is doing will come back
to bite them 10x harder. You see the pain and
agony in the young faces of these children and
young fathers with only rubble and death
surrounding them? They will seek revenge in
any way possible.","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",2,2,4,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
30,evaluation,train,"Why would anyone reflexively take the side of the weaker party rather than what they are doing? Hamas hides behind civilians as shields while they indiscriminately launch rockets at Israeli civilians, caring nothing for who they hit and hoping Israel kills Innocents trying to counterstrike so they can get the optics. Hamas will only settle for the extermination of Israel. Relative strength is a terrible metric for who you support._x000D_","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",4,3,4,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
31,evaluation,train,The Yeshuv is nurtured and formed before Hitler ever rises to power. I view the entire project as not beginning out of the kind of urgency of the Holocaust but out of a desire to have one's own self-determination and land because of the permanence of anti-Semitism,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,3,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
32,evaluation,train,"1am done with the American government and Israeli government supporting this Hitler regime from Israel murdering over 30,000 innocent people as if God and the sacred life of human beings does not matter.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1,1,4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
33,evaluation,train,"Actually, Israel attacked first. It is commonly claimed that it was a preemptive strike in the face of a planned Arab invasion, but that's not what the Israeli military and political leaders said:
""I do not think Nasser wanted war. The two divisions he sent to The Sinai would not have been sufficient to launch an offensive war. He knew it and we knew it."" Yitzhak Rabin interview published in Le Monde February 28, 1968.
“The entire story of the danger of extermination was invented in every detail and exaggerated a posteriori to justify the annexation of new Arab territory.” Mordecai Bentov interview with Israeli newspaper Al-Hamishmar, April 14, 1971.
""We were not threatened with genocide on the eve of the Six Days War, and we had never thought of such a possibility.” Haim Bar-Lev interview with Israeli newspaper Ma’ariv, April 4, 1972.
""There was never any danger of annihilation. This hypothesis has never been considered in any serious meeting."" Ezer Weizmann, same interview.
""The former Commander of the Air Force, General Ezer Weitzman, regarded as a hawk, stated that there was 'no threat of destruction' but that the attack on Egypt, Jordan and Syria was nevertheless justified so that Israel could 'exist according the scale, spirit, and quality she now embodies.' The Fateful Triangle by Noam Chomsky.
“The thesis according to which the danger of genocide hung over us in June 1967, and according to which Israel was fighting for her very physical survival, was nothing but a bluff which was born and bred after the war.” Mattityahu Peled, Spring of 1972.
“Israel was never in real danger and there was no evidence that Egypt had any intention of attacking Israel.” .... “Israeli intelligence knew that Egypt was not prepared for war.” Mattityahu Peled, radio programme.
“There was no danger of annihilation. Neither Israeli headquarters nor the Pentagon – as the memoirs of President Johnson proved – believed in this danger.” Chaim Herzog, same programme.
“All those stories about the huge danger we were facing because of our small territorial size, an argument expounded once the war was over, have never been considered in our calculations. While we proceeded towards the full mobilisation of our forces, no person in his right mind could believe that all this force was necessary to our ‘defence’ against the Egyptian threat. This force was to crush once and for all the Egyptians at the military level and their Soviet masters at the political level. To pretend that the Egyptian forces concentrated on our borders were capable of threatening Israel’s existence does not only insult the intelligence of any person capable of analysing this kind of situation, but is primarily an insult to the Israeli army.” Mattityahu Peled, Le Monde, June 3rd, 1972.
""The kibbutzim saw the good agricultural land ... and they dreamed about it... They didn't even try to hide their greed for the land..."" Moshe Dayan conversation with Israeli journalist Rami Tal, 1976.
""I know how at least 80 percent of the clashes there started. In my opinion, more than 80 percent, but let's talk about 80 percent. It went this way: We would send a tractor to plow some area where it wasn't possible to do anything, in the demilitarized area, and knew in advance that the Syrians would start to shoot. If they didn't shoot, we would tell the tractor to advance farther, until in the end the Syrians would get annoyed and shoot. And then we would use artillery and later the air force also, and that's how it was.'' Moshe Dayan, same conversation.
“I made a mistake in allowing the Israel conquest of the Golan Heights. As defense minister I should have stopped it because the Syrians were not threatening us at the time [fourth day of the war].” Moshe Dayan, same conversation.
“In June 1967 we again had a choice. The Egyptian army concentrations in the Sinai approaches do not prove that Nasser was really about to attack us. We must be honest with ourselves. We decided to attack him.” Menecham Begin, 1982.Helpful website: http://www.ifamericansknew.org/
","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",3,1,2,"[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]"
34,evaluation,train,You're fighting terrorists that are operating out of civilian infrastructure. These are the most cowardly ways you can ever conduct,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",3,2,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
35,evaluation,train,"Palestine has been genocidal towards the Jews for literally forever. The state was founded on the idea of Jewish erasure and named Palestina as a reference to the Phillistines who invaded and enslaved the second Jewish commonwealth on the land. This was done to remind the Jews of their place as slaves and lessen their attachment to their homeland. There would literally be no Palestine without the theme of Jewish erasure or the fact that it was the Jewish homeland for many generations before Palestinians even existed. It’s used as wedge to validate the other antisemitic states who call for Jewish genocide’s attacks in Israel. Back in 1977 before the current narrative of infantilized Palestine was a thing the leader of the major ruling political party of Palestine the PLO, of which Fatah is a part, had this to say about what Palestine was. “The Palestinian people do not exist. The creation of a Palestinian state is only a means for continuing our struggle against the state of Israel for our Arab unity. In reality today there is no difference between Jordanians, Palestinians, Syrians and Lebanese. Only for political and tactical reasons do we speak today about the existence of a Palestinian people, since Arab national interests demand that we posit the existence of a distinct ""Palestinian people"" to oppose Zionism. Yes, the existence of a separate Palestinian identity exists only for tactical reasons, Jordan, which is a sovereign state with defined borders, cannot raise claims to Haifa and Jaffa, while as a Palestinian, I can undoubtedly demand Haifa, Jaffa, Beer-Sheva and Jerusalem. However, the moment we reclaim our right to all of Palestine, we will not wait even a minute to unite Palestine and Jordan. -Zuheir Mohsen, PLO leader From: “Wij zijn alleen Palestijn om politieke reden,” James Dorsey, Trouw, 31 March 1977 More honest times I suppose. An era when social media could not be used to the advantages it is today. This is why ironically Palestinians were only granted autonomy over their land once Israel was formed. The Ottoman, British, Jordanian and Egyptians never allowed a formal Palestine state. before Hamas existed modern Palestine has been calling for genocide and long before Israel existed they have been murdering Jews.","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",5,4,4,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
